EPOCHS,LEARNING_RATE,BATCH_SIZE,KERNEL,POOLING,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
11,0.0009,100,2,average,92.84200072288513,72.02000021934509,0.20415529608726501,1.1699026823043823
12,0.0009,100,2,average,94.55000162124634,71.29999995231628,0.15600349009037018,1.2682701349258423
13,0.0009,100,2,average,95.58200240135193,71.96999788284302,0.12580932676792145,1.3749244213104248
14,0.0009,100,2,average,96.2719976902008,71.3699996471405,0.10755966603755951,1.5488048791885376
15,0.0009,100,2,average,96.72200083732605,70.99999785423279,0.09186588227748871,1.5894302129745483
1,0.0009,100,3,max,41.88799858093262,56.290000677108765,1.6205360889434814,1.2396667003631592
2,0.0009,100,3,max,60.228002071380615,62.95999884605408,1.1222174167633057,1.0577194690704346
3,0.0009,100,3,max,66.948002576828,67.08999872207642,0.9379306435585022,0.9427759051322937
4,0.0009,100,3,max,71.91399931907654,70.92000246047974,0.8091471195220947,0.8435055017471313
5,0.0009,100,3,max,76.00600123405457,70.42999863624573,0.6889090538024902,0.8593366742134094
6,0.0009,100,3,max,79.4979989528656,72.64000177383423,0.588498592376709,0.813972532749176
7,0.0009,100,3,max,82.53200054168701,72.93999791145325,0.4923003911972046,0.8853317499160767
8,0.0009,100,3,max,85.96600294113159,72.51999974250793,0.39355745911598206,0.8828198313713074
9,0.0009,100,3,max,89.4599974155426,73.48999977111816,0.29803046584129333,0.9580502510070801
10,0.0009,100,3,max,91.87399744987488,73.22999835014343,0.2312048077583313,1.0806028842926025
11,0.0009,100,3,max,94.00799870491028,72.08999991416931,0.16946107149124146,1.222756266593933
12,0.0009,100,3,max,94.55199837684631,71.85999751091003,0.1510021835565567,1.3095508813858032
13,0.0009,100,3,max,95.933997631073,72.60000109672546,0.11517273634672165,1.351547122001648
14,0.0009,100,3,max,96.44799828529358,73.11999797821045,0.10081201046705246,1.4237465858459473
15,0.0009,100,3,max,96.79200053215027,72.39999771118164,0.09199323505163193,1.5576478242874146
1,0.0009,100,3,average,39.937999844551086,50.81999897956848,1.6549105644226074,1.348159670829773
2,0.0009,100,3,average,55.879998207092285,58.84000062942505,1.2381747961044312,1.155173897743225
3,0.0009,100,3,average,62.133997678756714,63.28999996185303,1.0654149055480957,1.0323718786239624
4,0.0009,100,3,average,66.80200099945068,66.36999845504761,0.9413667321205139,0.9625995755195618
5,0.0009,100,3,average,71.19399905204773,67.43000149726868,0.8200426697731018,0.922883152961731
6,0.0009,100,3,average,74.71799850463867,69.65000033378601,0.7184622287750244,0.8960317969322205
7,0.0009,100,3,average,78.25599908828735,70.1799988746643,0.6165057420730591,0.8925506472587585
8,0.0009,100,3,average,81.7359983921051,69.91999745368958,0.5197430849075317,0.9358826279640198
9,0.0009,100,3,average,85.2620005607605,70.99000215530396,0.4214314818382263,0.9713870882987976
10,0.0009,100,3,average,88.19800019264221,71.79999947547913,0.3362374007701874,1.0215091705322266
11,0.0009,100,3,average,90.80600142478943,70.91000080108643,0.2641661465167999,1.1430302858352661
12,0.0009,100,3,average,93.09200048446655,71.3100016117096,0.19804346561431885,1.234441876411438
13,0.0009,100,3,average,94.23999786376953,71.11999988555908,0.1642787903547287,1.3788812160491943
14,0.0009,100,3,average,95.21200060844421,71.13999724388123,0.13604314625263214,1.4517173767089844
15,0.0009,100,3,average,96.41000032424927,70.31000256538391,0.10419358313083649,1.54543137550354
1,0.0009,100,5,max,36.41999959945679,51.099997758865356,1.7354007959365845,1.3756053447723389
2,0.0009,100,5,max,55.29800057411194,59.380000829696655,1.2434247732162476,1.1560665369033813
3,0.0009,100,5,max,62.79600262641907,63.28999996185303,1.059319019317627,1.0434010028839111
4,0.0009,100,5,max,67.4560010433197,66.75999760627747,0.9267851710319519,0.9564418792724609
5,0.0009,100,5,max,71.10400199890137,68.40999722480774,0.8274673819541931,0.9157551527023315
6,0.0009,100,5,max,74.00400042533875,69.41999793052673,0.7477485537528992,0.9031121730804443
7,0.0009,100,5,max,76.55799984931946,69.66000199317932,0.6671127676963806,0.9214706420898438
8,0.0009,100,5,max,79.34799790382385,68.62000226974487,0.5871085524559021,0.9511122107505798
9,0.0009,100,5,max,81.70599937438965,71.21000289916992,0.5157408714294434,0.9270942807197571
10,0.0009,100,5,max,84.59399938583374,70.57999968528748,0.4365807771682739,1.007453441619873
11,0.0009,100,5,max,86.74799799919128,70.32999992370605,0.3759799599647522,1.0727792978286743
12,0.0009,100,5,max,88.6900007724762,70.50999999046326,0.31582266092300415,1.1427651643753052
13,0.0009,100,5,max,91.0640001296997,69.88000273704529,0.25014612078666687,1.2680671215057373
14,0.0009,100,5,max,92.4619972705841,70.37000060081482,0.21291522681713104,1.3587032556533813
15,0.0009,100,5,max,93.6959981918335,70.3000009059906,0.17511248588562012,1.457577109336853
1,0.0009,100,5,average,36.305999755859375,46.219998598098755,1.7516076564788818,1.4780020713806152
