EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
10,"ADAM,0.0009,WD=0",True,False,False,False,78.54599952697754,68.94000172615051,0.6894,0.6154682636260986,0.9312319159507751
11,"ADAM,0.0009,WD=0",True,False,False,False,80.80999851226807,69.41999793052673,0.6942,0.5484837293624878,0.9452674388885498
12,"ADAM,0.0009,WD=0",True,False,False,False,82.8980028629303,69.60999965667725,0.6961,0.4870138466358185,1.0054526329040527
13,"ADAM,0.0009,WD=0",True,False,False,False,85.31200289726257,69.52000260353088,0.6952,0.4187829792499542,1.0583839416503906
14,"ADAM,0.0009,WD=0",True,False,False,False,87.56800293922424,68.6299979686737,0.6863,0.3580305874347687,1.1447014808654785
15,"ADAM,0.0009,WD=0",True,False,False,False,89.64800238609314,68.40999722480774,0.6841,0.29711711406707764,1.2179661989212036
1,"ADAM,0.0009,WD=0",False,False,False,True,39.48799967765808,51.510000228881836,0.5151,1.6622340679168701,1.3262126445770264
2,"ADAM,0.0009,WD=0",False,False,False,True,55.479997396469116,56.74999952316284,0.5675,1.2380523681640625,1.2054033279418945
3,"ADAM,0.0009,WD=0",False,False,False,True,61.371999979019165,60.360002517700195,0.6036,1.0924993753433228,1.1146481037139893
4,"ADAM,0.0009,WD=0",False,False,False,True,65.27600288391113,64.14999961853027,0.6415,0.9809625148773193,1.0177406072616577
5,"ADAM,0.0009,WD=0",False,False,False,True,68.36400032043457,65.79999923706055,0.658,0.8954151272773743,0.9853796362876892
6,"ADAM,0.0009,WD=0",False,False,False,True,71.45799994468689,67.17000007629395,0.6717,0.8116081953048706,0.9492006897926331
7,"ADAM,0.0009,WD=0",False,False,False,True,74.23999905586243,66.64000153541565,0.6664,0.7375742793083191,0.9656143188476562
8,"ADAM,0.0009,WD=0",False,False,False,True,76.41000151634216,68.45999956130981,0.6846,0.6704854965209961,0.9377181529998779
9,"ADAM,0.0009,WD=0",False,False,False,True,79.07800078392029,67.61000156402588,0.6761,0.5966320037841797,1.021815538406372
10,"ADAM,0.0009,WD=0",False,False,False,True,81.35600090026855,68.4499979019165,0.6845,0.5313879251480103,1.0247893333435059
11,"ADAM,0.0009,WD=0",False,False,False,True,83.35000276565552,68.4499979019165,0.6845,0.47343572974205017,1.0651602745056152
12,"ADAM,0.0009,WD=0",False,False,False,True,85.97400188446045,68.19999814033508,0.682,0.40201535820961,1.1333725452423096
13,"ADAM,0.0009,WD=0",False,False,False,True,87.92999982833862,68.58999729156494,0.6859,0.34477436542510986,1.2096596956253052
14,"ADAM,0.0009,WD=0",False,False,False,True,89.92800116539001,67.39000082015991,0.6739,0.2891158163547516,1.2793217897415161
15,"ADAM,0.0009,WD=0",False,False,False,True,91.68599843978882,66.86999797821045,0.6687,0.24061328172683716,1.4929596185684204
1,"ADAM,0.0009,WD=0",False,False,False,False,27.59000062942505,40.059998631477356,0.4006,1.9832712411880493,1.6058272123336792
2,"ADAM,0.0009,WD=0",False,False,False,False,44.41399872303009,44.62999999523163,0.4463,1.517970085144043,1.4766011238098145
3,"ADAM,0.0009,WD=0",False,False,False,False,48.63600134849548,50.199997425079346,0.502,1.4171793460845947,1.3783187866210938
4,"ADAM,0.0009,WD=0",False,False,False,False,51.45999789237976,53.58999967575073,0.5359,1.3504102230072021,1.2983300685882568
5,"ADAM,0.0009,WD=0",False,False,False,False,54.41799759864807,54.85000014305115,0.5485,1.270458698272705,1.263048529624939
6,"ADAM,0.0009,WD=0",False,False,False,False,56.85799717903137,57.520002126693726,0.5752,1.2112923860549927,1.203893780708313
7,"ADAM,0.0009,WD=0",False,False,False,False,58.35999846458435,57.96999931335449,0.5797,1.1656798124313354,1.1793993711471558
8,"ADAM,0.0009,WD=0",False,False,False,False,60.29199957847595,59.24999713897705,0.5925,1.116795539855957,1.1589909791946411
9,"ADAM,0.0009,WD=0",False,False,False,False,61.611998081207275,60.65000295639038,0.6065,1.0799967050552368,1.1220135688781738
10,"ADAM,0.0009,WD=0",False,False,False,False,62.9859983921051,60.89000105857849,0.6089,1.044521450996399,1.1134388446807861
