EPOCHS;OPTIM;RESIDUAL;AUGMENTED;DROPOUT;BATCH_NORM;ACC_TRAIN;ACC_TEST;TEST_F1;ERROR_TRAIN;ERROR_TEST
8;ADAM,0.0009,WD=0.0001;True;False;0.1;True;72.35199809074402;67.91999936103821;0.6792;0.790627121925354;0.9232534766197205
9;ADAM,0.0009,WD=0.0001;True;False;0.1;True;73.99399876594543;66.90999865531921;0.6691;0.7457559108734131;0.9589627981185913
10;ADAM,0.0009,WD=0.0001;True;False;0.1;True;75.74800252914429;70.02000212669373;0.7002;0.6939335465431213;0.8705899119377136
11;ADAM,0.0009,WD=0.0001;True;False;0.1;True;77.29799747467041;69.66000199317932;0.6966;0.6498793363571167;0.8740078210830688
12;ADAM,0.0009,WD=0.0001;True;False;0.1;True;79.21800017356873;70.31999826431274;0.7032;0.5988235473632812;0.8817974328994751
13;ADAM,0.0009,WD=0.0001;True;False;0.1;True;80.54199814796448;71.03000283241272;0.7103;0.5575008392333984;0.8568686842918396
14;ADAM,0.0009,WD=0.0001;True;False;0.1;True;82.33199715614319;70.27000188827515;0.7027;0.5117214322090149;0.8917961120605469
15;ADAM,0.0009,WD=0.0001;True;False;0.1;True;83.76799821853638;71.13999724388123;0.7114;0.4705245792865753;0.897143542766571
1;ADAM,0.0009,WD=0.0001;True;False;0.2;True;35.839998722076416;44.940000772476196;0.4494000000000001;1.75994074344635;1.4847332239151
2;ADAM,0.0009,WD=0.0001;True;False;0.2;True;49.61000084877014;52.799999713897705;528;1.3927077054977417;1.3041555881500244
3;ADAM,0.0009,WD=0.0001;True;False;0.2;True;54.53199744224548;56.59000277519226;0.5659;1.267530918121338;1.2248159646987915
4;ADAM,0.0009,WD=0.0001;True;False;0.2;True;59.01600122451782;60.21000146865845;0.6021;1.157181978225708;1.125267505645752
5;ADAM,0.0009,WD=0.0001;True;False;0.2;True;62.449997663497925;63.099998235702515;631;1.0620343685150146;1.0492242574691772
6;ADAM,0.0009,WD=0.0001;True;False;0.2;True;65.27199745178223;64.42999839782715;0.6443;0.9822401404380798;1.0099111795425415
7;ADAM,0.0009,WD=0.0001;True;False;0.2;True;67.70399808883667;64.88999724388123;0.6489;0.9154032468795776;0.9958381652832031
8;ADAM,0.0009,WD=0.0001;True;False;0.2;True;70.0160026550293;67.41999983787537;0.6742;0.8499362468719482;0.9320076107978821
9;ADAM,0.0009,WD=0.0001;True;False;0.2;True;72.31000065803528;68.79000067710876;0.6879;0.7896853685379028;0.890695333480835
10;ADAM,0.0009,WD=0.0001;True;False;0.2;True;74.25199747085571;69.37000155448914;0.6937;0.7355578541755676;0.9005829691886902
11;ADAM,0.0009,WD=0.0001;True;False;0.2;True;76.36799812316895;70.3000009059906;703;0.6763365268707275;0.866178572177887
12;ADAM,0.0009,WD=0.0001;True;False;0.2;True;78.28199863433838;70.46999931335449;0.7047;0.6221647262573242;0.8568150997161865
13;ADAM,0.0009,WD=0.0001;True;False;0.2;True;80.14400005340576;70.31999826431274;0.7032;0.5712695717811584;0.8891273736953735
14;ADAM,0.0009,WD=0.0001;True;False;0.2;True;81.98000192642212;70.89999914169312;709;0.5198561549186707;0.8769305348396301
15;ADAM,0.0009,WD=0.0001;True;False;0.2;True;83.62600207328796;70.169997215271;0.7017;0.47184255719184875;0.9328214526176453
1;ADAM,0.0009,WD=0.0001;True;False;0.4;True;42.89399981498718;53.27000021934509;0.5327;1.5681281089782715;1.2832237482070923
2;ADAM,0.0009,WD=0.0001;True;False;0.4;True;58.083999156951904;61.320000886917114;0.6132;1.1762676239013672;1.086564302444458
3;ADAM,0.0009,WD=0.0001;True;False;0.4;True;63.7220025062561;64.78000283241272;0.6478;1.0290242433547974;0.9981822371482849
4;ADAM,0.0009,WD=0.0001;True;False;0.4;True;67.59999990463257;66.78000092506409;0.6678;0.9189332127571106;0.9441611766815186
5;ADAM,0.0009,WD=0.0001;True;False;0.4;True;70.42800188064575;68.0899977684021;0.6809;0.8354241251945496;0.9145519733428955
6;ADAM,0.0009,WD=0.0001;True;False;0.4;True;73.60600233078003;69.13999915122986;0.6914;0.7523437142372131;0.8780689239501953
7;ADAM,0.0009,WD=0.0001;True;False;0.4;True;76.2399971485138;70.59999704360962;706;0.6772348284721375;0.8599126935005188
8;ADAM,0.0009,WD=0.0001;True;False;0.4;True;79.20600175857544;71.95000052452087;0.7195;0.5964184999465942;0.8478254675865173
9;ADAM,0.0009,WD=0.0001;True;False;0.4;True;81.60399794578552;72.04999923706055;0.7205;0.5310941338539124;0.8538167476654053
10;ADAM,0.0009,WD=0.0001;True;False;0.4;True;83.80799889564514;72.22999930381775;0.7223;0.46762531995773315;0.8665531277656555
11;ADAM,0.0009,WD=0.0001;True;False;0.4;True;85.99799871444702;71.49999737739563;715;0.4054487943649292;0.9144182801246643
12;ADAM,0.0009,WD=0.0001;True;False;0.4;True;87.6800000667572;72.10000157356262;721;0.35545387864112854;0.9390864372253418
13;ADAM,0.0009,WD=0.0001;True;False;0.4;True;89.29600119590759;71.45000100135803;0.7145;0.309355765581131;0.9767481088638306
14;ADAM,0.0009,WD=0.0001;True;False;0.4;True;91.41600131988525;71.99000120162964;0.7199;0.25553426146507263;1.0438839197158813
15;ADAM,0.0009,WD=0.0001;True;False;0.4;True;92.54800081253052;72.06000089645386;0.7205999999999999;0.22307585179805756;1.0814276933670044
1;ADAM,0.0009,WD=0.0001;True;False;0.5;True;35.33200025558472;46.639999747276306;0.4664;1.7916300296783447;1.486029028892517
2;ADAM,0.0009,WD=0.0001;True;False;0.5;True;50.349998474121094;55.549997091293335;0.5555;1.3787733316421509;1.2602334022521973
3;ADAM,0.0009,WD=0.0001;True;False;0.5;True;57.829999923706055;58.66000056266785;0.5866;1.1896347999572754;1.176392674446106
4;ADAM,0.0009,WD=0.0001;True;False;0.5;True;62.3740017414093;62.9800021648407;0.6298;1.0633924007415771;1.0466614961624146
5;ADAM,0.0009,WD=0.0001;True;False;0.5;True;65.60400128364563;64.60999846458435;0.6461;0.9745345115661621;1.0096943378448486
6;ADAM,0.0009,WD=0.0001;True;False;0.5;True;68.2099997997284;66.39000177383423;0.6639;0.8977795839309692;0.9617825150489807
7;ADAM,0.0009,WD=0.0001;True;False;0.5;True;70.55000066757202;67.21000075340271;0.6721;0.8377275466918945;0.9338759779930115
8;ADAM,0.0009,WD=0.0001;True;False;0.5;True;72.3140001296997;68.30999851226807;0.6831;0.7869748473167419;0.9022263288497925
9;ADAM,0.0009,WD=0.0001;True;False;0.5;True;74.06399846076965;67.97000169754028;0.6797;0.7397878766059875;0.9339596033096313
10;ADAM,0.0009,WD=0.0001;True;False;0.5;True;75.60799717903137;68.4499979019165;0.6845;0.695419430732727;0.9149136543273926
11;ADAM,0.0009,WD=0.0001;True;False;0.5;True;76.74400210380554;68.44000220298767;0.6844;0.6607469320297241;0.9333027005195618
12;ADAM,0.0009,WD=0.0001;True;False;0.5;True;78.29399704933167;69.55000162124634;0.6955;0.6169599890708923;0.9108643531799316
13;ADAM,0.0009,WD=0.0001;True;False;0.5;True;79.79400157928467;70.55000066757202;0.7055;0.5803573131561279;0.891937255859375
14;ADAM,0.0009,WD=0.0001;True;False;0.5;True;80.80800175666809;69.95999813079834;0.6996;0.5453410744667053;0.906372606754303
15;ADAM,0.0009,WD=0.0001;True;False;0.5;True;82.4180006980896;70.45999765396118;0.7046;0.5060548782348633;0.8997089862823486
1;ADAM,0.0009,WD=0.0001;True;False;0.75;True;39.994001388549805;50.52000284194946;0.5052;1.6585766077041626;1.3639461994171143
2;ADAM,0.0009,WD=0.0001;True;False;0.75;True;53.74400019645691;55.46000003814697;0.5546;1.2844486236572266;1.2265217304229736
3;ADAM,0.0009,WD=0.0001;True;False;0.75;True;59.33600068092346;59.82999801635742;0.5983;1.138654351234436;1.1531002521514893
4;ADAM,0.0009,WD=0.0001;True;False;0.75;True;64.24400210380554;64.19000029563904;0.6419;1.0125430822372437;1.0106452703475952
5;ADAM,0.0009,WD=0.0001;True;False;0.75;True;67.43000149726868;66.10999703407288;0.6611;0.9284695386886597;0.9736945629119873
6;ADAM,0.0009,WD=0.0001;True;False;0.75;True;69.6839988231659;67.89000034332275;0.6789;0.86197829246521;0.9174472689628601
7;ADAM,0.0009,WD=0.0001;True;False;0.75;True;72.19200134277344;67.72000193595886;0.6772;0.7936830520629883;0.9268077611923218
8;ADAM,0.0009,WD=0.0001;True;False;0.75;True;74.07000064849854;69.40000057220459;694;0.7374935746192932;0.8788881897926331
9;ADAM,0.0009,WD=0.0001;True;False;0.75;True;76.02400183677673;70.02999782562256;0.7003;0.684191107749939;0.8706863522529602
10;ADAM,0.0009,WD=0.0001;True;False;0.75;True;78.11599969863892;69.15000081062317;0.6915;0.628974199295044;0.8904576897621155
11;ADAM,0.0009,WD=0.0001;True;False;0.75;True;80.05800247192383;69.87000107765198;0.6987;0.574850857257843;0.9152333736419678
12;ADAM,0.0009,WD=0.0001;True;False;0.75;True;81.9599986076355;70.70000171661377;707;0.520145833492279;0.8916375637054443
13;ADAM,0.0009,WD=0.0001;True;False;0.75;True;83.63400101661682;70.81999778747559;0.7082;0.4750528335571289;0.9053197503089905
14;ADAM,0.0009,WD=0.0001;True;False;0.75;True;85.32800078392029;70.89999914169312;709;0.42401883006095886;0.9074104428291321
15;ADAM,0.0009,WD=0.0001;True;False;0.75;True;86.93400025367737;70.53999900817871;0.7054;0.3833340108394623;0.9786843657493591
1;ADAM,0.0009,WD=0.0001;True;False;0.9;True;40.762001276016235;52.85999774932861;0.5286;1.6521342992782593;1.3141933679580688
