EPOCHS,OPTIM,RESIDUAL,AUGMENTED,DROPOUT,BATCH_NORM,ACC_TRAIN,ACC_TEST,TEST_F1,ERROR_TRAIN,ERROR_TEST
6,"ADAM,0.0009,WD=0.0001",True,True,0,False,56.682002544403076,66.60000085830688,0.666,1.216042160987854,0.9493554830551147
7,"ADAM,0.0009,WD=0.0001",True,True,0,False,57.83399939537048,66.56000018119812,0.6656,1.184813141822815,0.9514303803443909
8,"ADAM,0.0009,WD=0.0001",True,True,0,False,59.15899872779846,66.38000011444092,0.6638,1.1530877351760864,0.9581946730613708
9,"ADAM,0.0009,WD=0.0001",True,True,0,False,59.74299907684326,67.80999898910522,0.6781,1.1336390972137451,0.9149423241615295
10,"ADAM,0.0009,WD=0.0001",True,True,0,False,60.433000326156616,68.91000270843506,0.6891,1.1183363199234009,0.8815531134605408
11,"ADAM,0.0009,WD=0.0001",True,True,0,False,61.386001110076904,68.98999810218811,0.6899,1.0942175388336182,0.8891528248786926
12,"ADAM,0.0009,WD=0.0001",True,True,0,False,61.844998598098755,68.25000047683716,0.6825,1.0830661058425903,0.9090834259986877
13,"ADAM,0.0009,WD=0.0001",True,True,0,False,62.06600069999695,69.66999769210815,0.6967,1.0744632482528687,0.8627286553382874
14,"ADAM,0.0009,WD=0.0001",True,True,0,False,62.62900233268738,69.19000148773193,0.6919,1.058524250984192,0.8859168291091919
15,"ADAM,0.0009,WD=0.0001",True,True,0,False,62.77400255203247,69.49999928474426,0.695,1.0530120134353638,0.8910000324249268
1,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,37.092000246047974,50.63999891281128,0.5064,1.732895016670227,1.3455418348312378
2,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,46.01599872112274,58.469998836517334,0.5847,1.5002881288528442,1.173170804977417
3,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,49.61999952793121,59.42999720573425,0.5943,1.4098622798919678,1.1399164199829102
4,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,51.71700119972229,60.80999970436096,0.6081,1.3504515886306763,1.0947211980819702
5,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,53.602999448776245,63.830000162124634,0.6383,1.2965803146362305,1.0178806781768799
6,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,55.21399974822998,65.90999960899353,0.6591,1.2543748617172241,0.9642960429191589
7,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,56.89399838447571,66.20000004768372,0.662,1.2113615274429321,0.9659428596496582
8,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,58.302998542785645,66.82999730110168,0.6683,1.1775988340377808,0.9420281052589417
9,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,59.32199954986572,67.83999800682068,0.6784,1.1477454900741577,0.9129849076271057
10,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,59.97899770736694,67.65000224113464,0.6765,1.126291275024414,0.9354158043861389
11,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,60.816001892089844,68.73000264167786,0.6873,1.1072354316711426,0.8923914432525635
12,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,61.330997943878174,67.87999868392944,0.6788,1.0893912315368652,0.9303534030914307
13,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,62.10600137710571,69.19000148773193,0.6919,1.0752246379852295,0.8869770765304565
14,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,62.43699789047241,69.12000179290771,0.6912,1.0644042491912842,0.8935546875
15,"ADAM,0.0009,WD=0.0001",True,True,0.3,True,63.155001401901245,69.66000199317932,0.6966,1.0416765213012695,0.8784685730934143
1,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,36.6210013628006,51.670002937316895,0.5167,1.7370109558105469,1.3324989080429077
2,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,46.557000279426575,56.73999786376953,0.5674,1.4814436435699463,1.203567624092102
3,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,50.67800283432007,61.08999848365784,0.6109,1.3778611421585083,1.0899401903152466
4,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,53.23899984359741,62.379997968673706,0.6238,1.3090325593948364,1.045538067817688
5,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,55.072999000549316,64.49000239372253,0.6449,1.260807991027832,1.0115705728530884
6,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,56.467998027801514,65.03999829292297,0.6504,1.217255711555481,0.9723423719406128
7,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,58.048999309539795,67.9099977016449,0.6791,1.180842399597168,0.9103009104728699
8,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,59.10999774932861,68.27999949455261,0.6828,1.1506272554397583,0.8967325687408447
9,"ADAM,0.0009,WD=0.0001",True,True,0.3,False,60.17699837684631,69.24999952316284,0.6925,1.1227071285247803,0.8739225268363953
